frame.number|ip.src|ip.dst|_ws.col.protocol|frame.len|kerberos.CNameString|kerberos.realm|kerberos.SNameString|ntlmssp.auth.username|ntlmssp.auth.domain|ntlmssp.auth.hostname
30|10.1.17.215|10.1.17.2|LDAP|748||BLUEMOONTUESDAY.COM|ldap,win-gsh54qlw48d.bluemoontuesday.com,bluemoontuesday.com|||
32|10.1.17.2|10.1.17.215|LDAP|264||||||
33|10.1.17.215|10.1.17.2|LDAP|129||||||
156|10.1.17.215|10.1.17.255|BROWSER|228||||||
157|10.1.17.215|10.1.17.255|BROWSER|243||||||
167|10.1.17.215|10.1.17.255|BROWSER|228||||||
170|10.1.17.215|10.1.17.255|BROWSER|228||||||
174|10.1.17.215|10.1.17.255|BROWSER|228||||||
188|10.1.17.215|10.1.17.255|BROWSER|240||||||
227|10.1.17.215|10.1.17.255|BROWSER|240||||||
246|10.1.17.215|10.1.17.255|BROWSER|240||||||
250|10.1.17.215|10.1.17.2|KRB5|288|shutchenson|BLUEMOONTUESDAY|krbtgt,BLUEMOONTUESDAY|||
251|10.1.17.2|10.1.17.215|KRB5|262||BLUEMOONTUESDAY|krbtgt,BLUEMOONTUESDAY|||
258|10.1.17.215|10.1.17.2|KRB5|368|shutchenson|BLUEMOONTUESDAY|krbtgt,BLUEMOONTUESDAY|||
260|10.1.17.2|10.1.17.215|KRB5|399|shutchenson|BLUEMOONTUESDAY.COM|krbtgt,BLUEMOONTUESDAY.COM|||
269|10.1.17.215|10.1.17.2|KRB5|307||BLUEMOONTUESDAY.COM,BLUEMOONTUESDAY.COM|krbtgt,BLUEMOONTUESDAY.COM,host,desktop-l8c5gsj.bluemoontuesday.com|||
272|10.1.17.2|10.1.17.215|KRB5|329|shutchenson|BLUEMOONTUESDAY.COM|host,desktop-l8c5gsj.bluemoontuesday.com|||
282|10.1.17.215|10.1.17.2|DCERPC|214||||||
283|10.1.17.2|10.1.17.215|DCERPC|162||||||
284|10.1.17.215|10.1.17.2|EPM|222||||||
285|10.1.17.2|10.1.17.215|EPM|322||||||
293|10.1.17.215|10.1.17.2|KRB5|483||BLUEMOONTUESDAY.COM,BLUEMOONTUESDAY.COM|krbtgt,BLUEMOONTUESDAY.COM,LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
296|10.1.17.2|10.1.17.215|KRB5|461|shutchenson|BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
302|10.1.17.215|10.1.17.2|DCERPC|851||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
304|10.1.17.2|10.1.17.215|DCERPC|338||||||
305|10.1.17.215|10.1.17.2|DCERPC|274||||||
306|10.1.17.2|10.1.17.215|DCERPC|159||||||
307|10.1.17.215|10.1.17.2|DRSUAPI|322||||||
308|10.1.17.2|10.1.17.215|DRSUAPI|258||||||
