frame.number|frame.time|ip.src|ip.dst|dns.qry.name
7|Jan 22, 2025 20:44:56.544983000 CET|10.1.17.215|10.1.17.2|_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.bluemoontuesday.com
8|Jan 22, 2025 20:44:56.545341000 CET|10.1.17.2|10.1.17.215|_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.bluemoontuesday.com
10|Jan 22, 2025 20:44:56.545733000 CET|10.1.17.215|10.1.17.2|win-gsh54qlw48d.bluemoontuesday.com
11|Jan 22, 2025 20:44:56.546173000 CET|10.1.17.2|10.1.17.215|win-gsh54qlw48d.bluemoontuesday.com
12|Jan 22, 2025 20:44:56.546421000 CET|10.1.17.215|10.1.17.2|DESKTOP-L8C5GSJ.bluemoontuesday.com
13|Jan 22, 2025 20:44:56.546685000 CET|10.1.17.2|10.1.17.215|DESKTOP-L8C5GSJ.bluemoontuesday.com
16|Jan 22, 2025 20:44:56.547663000 CET|10.1.17.215|10.1.17.2|bluemoontuesday.com
17|Jan 22, 2025 20:44:56.548911000 CET|10.1.17.2|10.1.17.215|bluemoontuesday.com
22|Jan 22, 2025 20:44:56.656580000 CET|10.1.17.215|10.1.17.2|_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.bluemoontuesday.com
23|Jan 22, 2025 20:44:56.656842000 CET|10.1.17.2|10.1.17.215|_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.bluemoontuesday.com
37|Jan 22, 2025 20:44:57.049059000 CET|10.1.17.215|10.1.17.2|wpad.bluemoontuesday.com
38|Jan 22, 2025 20:44:57.049060000 CET|10.1.17.215|10.1.17.2|wpad.bluemoontuesday.com
39|Jan 22, 2025 20:44:57.049262000 CET|10.1.17.2|10.1.17.215|wpad.bluemoontuesday.com
40|Jan 22, 2025 20:44:57.049440000 CET|10.1.17.2|10.1.17.215|wpad.bluemoontuesday.com
66|Jan 22, 2025 20:45:00.739531000 CET|10.1.17.215|10.1.17.2|kv801.prod.do.dsp.mp.microsoft.com
67|Jan 22, 2025 20:45:00.800427000 CET|10.1.17.2|10.1.17.215|kv801.prod.do.dsp.mp.microsoft.com
68|Jan 22, 2025 20:45:00.800698000 CET|10.1.17.215|10.1.17.2|kv801.prod.do.dsp.mp.microsoft.com
69|Jan 22, 2025 20:45:00.800920000 CET|10.1.17.2|10.1.17.215|kv801.prod.do.dsp.mp.microsoft.com
70|Jan 22, 2025 20:45:00.800920000 CET|10.1.17.215,10.1.17.2|10.1.17.2,10.1.17.215|kv801.prod.do.dsp.mp.microsoft.com
99|Jan 22, 2025 20:45:01.278147000 CET|10.1.17.215|10.1.17.2|www.msftconnecttest.com
106|Jan 22, 2025 20:45:01.352511000 CET|10.1.17.215|10.1.17.2|www.msftconnecttest.com
107|Jan 22, 2025 20:45:01.363501000 CET|10.1.17.2|10.1.17.215|www.msftconnecttest.com
129|Jan 22, 2025 20:45:01.991842000 CET|10.1.17.215|10.1.17.2|client.wns.windows.com
130|Jan 22, 2025 20:45:02.040659000 CET|10.1.17.2|10.1.17.215|client.wns.windows.com
165|Jan 22, 2025 20:45:04.222003000 CET|10.1.17.215|10.1.17.2|dns.msftncsi.com
166|Jan 22, 2025 20:45:04.266389000 CET|10.1.17.2|10.1.17.215|dns.msftncsi.com
175|Jan 22, 2025 20:45:08.336583000 CET|10.1.17.215|10.1.17.2|v10.events.data.microsoft.com
176|Jan 22, 2025 20:45:08.385449000 CET|10.1.17.2|10.1.17.215|v10.events.data.microsoft.com
204|Jan 22, 2025 20:45:09.212127000 CET|10.1.17.215|10.1.17.2|v20.events.data.microsoft.com
206|Jan 22, 2025 20:45:09.275450000 CET|10.1.17.2|10.1.17.215|v20.events.data.microsoft.com
352|Jan 22, 2025 20:45:13.124386000 CET|10.1.17.215|10.1.17.2|windows.msn.com
353|Jan 22, 2025 20:45:13.170631000 CET|10.1.17.2|10.1.17.215|windows.msn.com
369|Jan 22, 2025 20:45:13.353561000 CET|10.1.17.215|10.1.17.2|officeclient.microsoft.com
377|Jan 22, 2025 20:45:13.400351000 CET|10.1.17.2|10.1.17.215|officeclient.microsoft.com
384|Jan 22, 2025 20:45:13.444119000 CET|10.1.17.215|10.1.17.2|www.msn.com
385|Jan 22, 2025 20:45:13.444387000 CET|10.1.17.2|10.1.17.215|www.msn.com
409|Jan 22, 2025 20:45:13.562812000 CET|10.1.17.215|10.1.17.2|www.bing.com
422|Jan 22, 2025 20:45:13.616003000 CET|10.1.17.2|10.1.17.215|www.bing.com
439|Jan 22, 2025 20:45:13.678964000 CET|10.1.17.215|10.1.17.2|odc.officeapps.live.com
465|Jan 22, 2025 20:45:13.720469000 CET|10.1.17.2|10.1.17.215|odc.officeapps.live.com
530|Jan 22, 2025 20:45:13.994193000 CET|10.1.17.215|10.1.17.2|assets.msn.com
536|Jan 22, 2025 20:45:14.036930000 CET|10.1.17.2|10.1.17.215|assets.msn.com
642|Jan 22, 2025 20:45:15.795229000 CET|10.1.17.215|10.1.17.2|g.live.com
644|Jan 22, 2025 20:45:15.845059000 CET|10.1.17.2|10.1.17.215|g.live.com
680|Jan 22, 2025 20:45:16.137890000 CET|10.1.17.215|10.1.17.2|oneclient.sfx.ms
684|Jan 22, 2025 20:45:16.195391000 CET|10.1.17.2|10.1.17.215|oneclient.sfx.ms
690|Jan 22, 2025 20:45:16.255985000 CET|10.1.17.215|10.1.17.2|wpad.bluemoontuesday.com
691|Jan 22, 2025 20:45:16.255986000 CET|10.1.17.215|10.1.17.2|wpad.bluemoontuesday.com
692|Jan 22, 2025 20:45:16.256173000 CET|10.1.17.2|10.1.17.215|wpad.bluemoontuesday.com
693|Jan 22, 2025 20:45:16.256174000 CET|10.1.17.2|10.1.17.215|wpad.bluemoontuesday.com
721|Jan 22, 2025 20:45:22.624472000 CET|10.1.17.215|10.1.17.2|services.gfe.nvidia.com
722|Jan 22, 2025 20:45:22.679885000 CET|10.1.17.215|10.1.17.2|services.gfe.nvidia.com
723|Jan 22, 2025 20:45:22.680250000 CET|10.1.17.2|10.1.17.215|services.gfe.nvidia.com
724|Jan 22, 2025 20:45:22.680250000 CET|10.1.17.2|10.1.17.215|services.gfe.nvidia.com
