frame.number	frame.time	ip.src	ip.dst	_ws.col.protocol	dns.qry.name	tls.handshake.extensions_server_name	http.host
1	Jan 22, 2025 20:44:56.530137000 CET	0.0.0.0	255.255.255.255	DHCP			
2	Jan 22, 2025 20:44:56.531008000 CET	10.1.17.2	255.255.255.255	DHCP			
3	Jan 22, 2025 20:44:56.532026000 CET	0.0.0.0	255.255.255.255	DHCP			
4	Jan 22, 2025 20:44:56.533016000 CET	10.1.17.2	255.255.255.255	DHCP			
5	Jan 22, 2025 20:44:56.544758000 CET			ARP			
6	Jan 22, 2025 20:44:56.544759000 CET			ARP			
7	Jan 22, 2025 20:44:56.544983000 CET	10.1.17.215	10.1.17.2	DNS	_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.bluemoontuesday.com		
8	Jan 22, 2025 20:44:56.545341000 CET	10.1.17.2	10.1.17.215	DNS	_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.bluemoontuesday.com		
9	Jan 22, 2025 20:44:56.545732000 CET	10.1.17.215	224.0.0.252	LLMNR	DESKTOP-L8C5GSJ		
10	Jan 22, 2025 20:44:56.545733000 CET	10.1.17.215	10.1.17.2	DNS	win-gsh54qlw48d.bluemoontuesday.com		
11	Jan 22, 2025 20:44:56.546173000 CET	10.1.17.2	10.1.17.215	DNS	win-gsh54qlw48d.bluemoontuesday.com		
12	Jan 22, 2025 20:44:56.546421000 CET	10.1.17.215	10.1.17.2	DNS	DESKTOP-L8C5GSJ.bluemoontuesday.com		
13	Jan 22, 2025 20:44:56.546685000 CET	10.1.17.2	10.1.17.215	DNS	DESKTOP-L8C5GSJ.bluemoontuesday.com		
14	Jan 22, 2025 20:44:56.546686000 CET	10.1.17.215	10.1.17.2	CLDAP			
15	Jan 22, 2025 20:44:56.547155000 CET	10.1.17.2	10.1.17.215	CLDAP			
16	Jan 22, 2025 20:44:56.547663000 CET	10.1.17.215	10.1.17.2	DNS	bluemoontuesday.com		
17	Jan 22, 2025 20:44:56.548911000 CET	10.1.17.2	10.1.17.215	DNS	bluemoontuesday.com		
18	Jan 22, 2025 20:44:56.576594000 CET			ARP			
19	Jan 22, 2025 20:44:56.609856000 CET	10.1.17.215	10.1.17.255	NBNS			
20	Jan 22, 2025 20:44:56.609856000 CET	10.1.17.215	10.1.17.255	NBNS			
21	Jan 22, 2025 20:44:56.610033000 CET	10.1.17.215	10.1.17.255	NBNS			
